PROFIL,R51 Breite,R52 Stärke,R60,R61,R20,R40,R41,,,
PR_002,3.5,1.5,12.00,1.97, ,0.20,,,,
PR_002,3.5,1.6,12.00,1.92, ,0.20,,,,
PR_002,3.5,1.7,12.00,1.87, ,0.20,,,,
PR_002,3.5,1.8,12.00,1.84, ,0.20,,,,
PR_002,3.5,1.9,12.00,1.81, ,0.20,,,,
PR_002,3.5,2.0,12.00,1.79, ,0.20,,,,
PR_002,3.5,2.1,12.00,1.77, ,0.20,,,,
PR_002,3.5,2.2,12.00,1.76, ,0.20,,,,
PR_002,3.5,2.3,12.00,1.75, ,0.20,,,,
PR_002,3.5,2.4,12.00,1.75, ,0.20,,,,
PR_002,3.5,2.5,12.00,1.75, ,0.20,,,,
PR_002,3.5,2.6,12.00,1.75, ,0.20,,,,
PR_002,3.5,2.7,12.00,1.76, ,0.20,,,,
PR_002,3.5,2.8,12.00,1.76, ,0.20,,,,
PR_002,3.5,2.9,12.00,1.77, ,0.20,,,,
PR_002,3.5,3.0,12.00,1.78, ,0.20,,,,
PR_002,3.5,3.1,12.00,1.80, ,0.20,,,,
PR_002,4,0.8,13.00,3.80, ,0.20,,,,
PR_002,4,0.9,13.00,3.45, ,0.20,,,,
PR_002,4,1.0,13.00,3.17, ,0.20,,,,
PR_002,4,1.1,13.00,2.95, ,0.20,,,,
PR_002,4,1.2,13.00,2.77, ,0.20,,,,
PR_002,4,1.3,13.00,2.63, ,0.20,,,,
PR_002,4,1.4,13.00,2.51, ,0.20,,,,
PR_002,4,1.5,13.00,2.41, ,0.20,,,,
PR_002,4,1.6,13.00,2.33, ,0.20,,,,
PR_002,4,1.7,13.00,2.26, ,0.20,,,,
PR_002,4,1.8,13.00,2.20, ,0.20,,,,
PR_002,4,1.9,13.00,2.16, ,0.20,,,,
PR_002,4,2.0,13.00,2.12, ,0.20,,,,
PR_002,4,2.1,13.00,2.09, ,0.20,,,,
PR_002,4,2.2,13.00,2.06, ,0.20,,,,
PR_002,4,2.3,13.00,2.04, ,0.20,,,,
PR_002,4,2.4,13.00,2.03, ,0.20,,,,
PR_002,4,2.5,13.00,2.01, ,0.20,,,,
